blocknumber	compressedlog
11504907	PayoutAdded	 23118354859347899
11504907	PayoutAdded	 24920479472737299
11504907	PayoutAdded	 25177030045421201
11504907	PayoutAdded	 32151579796395497
11504907	PayoutAdded	 109923423769856198
11504907	PayoutAdded	 34668689222567300
11504907	PayoutAdded	 34942755476916900
11504907	PayoutAdded	 35338681319345699
11504907	PayoutAdded	 35788420011290698
11504907	PayoutAdded	 36645588729701999
11504907	PayoutAdded	 37045050254274597
11504907	PayoutAdded	 38224325148582698
11504907	PayoutAdded	 47308590981491600
11504907	PayoutAdded	 47693849967947302
11504907	PayoutAdded	 48493544786500600
11504907	PayoutAdded	 53846701761298798
11504907	PayoutAdded	 53946742903434999
11504907	PayoutAdded	 64039800865089605
11504907	PayoutAdded	 71743644068413700
11504907	PayoutAdded	 4457851323937410153
11504907	PayoutAdded	 74766597401305395
11504907	PayoutAdded	 84557957683091405
11504907	PayoutAdded	 89726919931530299
11504907	PayoutAdded	 92142632642280800
11504907	PayoutAdded	 92729204551313199
11504907	PayoutAdded	 112144038682230995
11504907	PayoutAdded	 112497859018496002
11504907	PayoutAdded	 115973443473898998
11504907	PayoutAdded	 116776195039221999
11504907	PayoutAdded	 119025358034213005
11504907	PayoutAdded	 119502490673451006
11504907	PayoutAdded	 128967158037702006
11504907	PayoutAdded	 147409518649181003
11504907	PayoutAdded	 163272624290861007
11504907	PayoutAdded	 169873518313578997
11504907	PayoutAdded	 174904778857884996
11504907	PayoutAdded	 1394811956849329043
11504907	PayoutAdded	 179741510338986998
11504907	PayoutAdded	 185069063147658002
11504907	PayoutAdded	 187050519713131996
11504907	PayoutAdded	 188833447197707005
11504907	PayoutAdded	 205544374611508012
11504907	PayoutAdded	 218648611554361993
11504907	PayoutAdded	 266926481319889996
11504907	PayoutAdded	 278750322009405027
11504907	PayoutAdded	 284824550445470003
11504907	PayoutAdded	 284946005680944025
11504907	PayoutAdded	 304419308787404974
11504907	PayoutAdded	 309992774439876994
11504907	PayoutAdded	 321480266804132996
11504907	PayoutAdded	 333253085716104013
11504907	PayoutAdded	 339977998493472988
11504907	PayoutAdded	 344772094269496010
11504907	PayoutAdded	 369707659389039988
11504907	PayoutAdded	 373226548023935011
11504907	PayoutAdded	 383844925681204984
11504907	PayoutAdded	 392011156030379004
11504907	PayoutAdded	 424142048650056002
11504907	PayoutAdded	 425839476859260990
11504907	PayoutAdded	 430690057524616976
11504907	PayoutAdded	 457452469893948998
11504907	PayoutAdded	 462987396153114016
11504907	PayoutAdded	 467142531516061998
11504907	PayoutAdded	 496595341602362017
11504907	PayoutAdded	 507327392178173020
11504907	PayoutAdded	 514333231720957018
11504907	PayoutAdded	 577220438329168028
11504907	PayoutAdded	 585316086603092977
11504907	PayoutAdded	 606524316215230951
11504907	PayoutAdded	 681141796094607010
11504907	PayoutAdded	 687219018065126974
11504907	PayoutAdded	 693254285267249970
11504907	PayoutAdded	 697094698686305025
11504907	PayoutAdded	 702021422240774017
11504907	PayoutAdded	 742761084324461973
11504907	PayoutAdded	 746222158796120971
11504907	PayoutAdded	 748662224624957017
11504907	PayoutAdded	 782408985007448043
11504907	PayoutAdded	 796097884600072025
11504907	PayoutAdded	 801222098534037030
11504907	PayoutAdded	 5302517894800310933489
11504907	PayoutAdded	 829861950660926050
11504907	PayoutAdded	 840750774056043037
11504907	PayoutAdded	 852927711716311987
11504907	PayoutAdded	 862590337099019000
11504907	PayoutAdded	 876006454312545979
11504907	PayoutAdded	 881256492851545947
11504907	PayoutAdded	 893957064089117015
11504907	PayoutAdded	 939444465796279049
11504907	PayoutAdded	 988573707626187014
11504907	PayoutAdded	 998775166303230044
11504907	PayoutAdded	 1061524064017989932
11504907	PayoutAdded	 1084613272508549997
11504907	PayoutAdded	 1189175537440519958
11504907	PayoutAdded	 1210911213324449953
11504907	PayoutAdded	 1537061693322419930
11504907	PayoutAdded	 1553432821643859984
11504907	PayoutAdded	 1615383543053449999
11504907	PayoutAdded	 1721782876772810055
11504907	PayoutAdded	 1729263786396810109
11504907	PayoutAdded	 1782098906687880068
11504907	PayoutAdded	 1831316791818129896
11504907	PayoutAdded	 22259667060977468500
11504907	PayoutAdded	 1957669748372220075
11504907	PayoutAdded	 1980793555866420030
11504907	PayoutAdded	 2093198835025119830
11504907	PayoutAdded	 27741665807822700084
11504907	PayoutAdded	 2362699648988400014
11504907	PayoutAdded	 2447088895006139797
11504907	PayoutAdded	 2628560646421920221
11504907	PayoutAdded	 2694467549983260212
11504907	PayoutAdded	 2913578861193160118
11504907	PayoutAdded	 3028906113935589949
11504907	PayoutAdded	 3082011473200700013
11504907	PayoutAdded	 3122797918317810061
11504907	PayoutAdded	 3225960761296919887
11504907	PayoutAdded	 3256120167095430062
11504907	PayoutAdded	 3357638837800359876
11504907	PayoutAdded	 3580531760619340087
11504907	PayoutAdded	 3590484010667509995
11504939	PayoutAdded	 3622904524400520021
11504939	PayoutAdded	 4128431929328770344
11504939	PayoutAdded	 4146862241220749645
11504939	PayoutAdded	 4502434302598739890
11504939	PayoutAdded	 4589579355520889691
11504939	PayoutAdded	 4620740973448260291
11504939	PayoutAdded	 4836892446071059836
11504939	PayoutAdded	 5119191924142739935
11504939	PayoutAdded	 5169783920173130375
11504939	PayoutAdded	 5380914602915160216
11504939	PayoutAdded	 5466165380216960301
11504939	PayoutAdded	 5819847692064070265
11504939	PayoutAdded	 6038059504901980290
11504939	PayoutAdded	 6349801079938179881
11504939	PayoutAdded	 6571070508450770120
11504939	PayoutAdded	 7920500356867799851
11504939	PayoutAdded	 8481310809889679447
11504939	PayoutAdded	 8675486937915449559
11504939	PayoutAdded	 8776390151061539413
11504939	PayoutAdded	 9039194642796140044
11504939	PayoutAdded	 9685590256421560795
11504939	PayoutAdded	 9991780159661859173
11504939	PayoutAdded	 10577467435268399498
11504939	PayoutAdded	 10816695003987099710
11504939	PayoutAdded	 11052164581963399569
11504939	PayoutAdded	 11201302031935599146
11504939	PayoutAdded	 11436243266714100741
11504939	PayoutAdded	 11529099134868099341
11504939	PayoutAdded	 11930815144510699354
11504939	PayoutAdded	 11988339498831800611
11504939	PayoutAdded	 12062355759654000308
11504939	PayoutAdded	 12198650734587600297
11504939	PayoutAdded	 12958674851240500558
11504939	PayoutAdded	 13465530893134900480
11504939	PayoutAdded	 13904345220267499527
11504939	PayoutAdded	 14066013574523800855
11504939	PayoutAdded	 14627193044372699404
11504939	PayoutAdded	 15157767148911100107
11504939	PayoutAdded	 15522777635428800735
11504939	PayoutAdded	 16248818927813701407
11504939	PayoutAdded	 17154183176917300102
11504939	PayoutAdded	 17225450770344700401
11504939	PayoutAdded	 17353687680355498912
11504939	PayoutAdded	 17454620266111199100
11504939	PayoutAdded	 17490486790318499288
11504939	PayoutAdded	 17787778195891000621
11504939	PayoutAdded	 17807211846044999958
11504939	PayoutAdded	 18404859965400500954
11504939	PayoutAdded	 18635060186020400152
11504939	PayoutAdded	 18759422142116999765
11504939	PayoutAdded	 19156238341539800984
11504939	PayoutAdded	 19373742405080200512
11504939	PayoutAdded	 19403980961068999278
11504939	PayoutAdded	 20184323612151601423
11504939	PayoutAdded	 20497364755324600338
11504939	PayoutAdded	 20674269010160699622
11504939	PayoutAdded	 22059013169434898316
11504939	PayoutAdded	 24175428237503101769
11504939	PayoutAdded	 24302847040995700922
11504939	PayoutAdded	 25374781455961098686
11504939	PayoutAdded	 350402483788783403184
11504939	PayoutAdded	 25802574770459401065
11504939	PayoutAdded	 26223503351398100846
11504939	PayoutAdded	 26314553753694301718
11504939	PayoutAdded	 26597699603036300430
11504939	PayoutAdded	 27742664244506599402
11504939	PayoutAdded	 30025091984155398705
11504939	PayoutAdded	 30257185057220201684
11504939	PayoutAdded	 30459007220562398288
11504939	PayoutAdded	 31029876616872201111
11504939	PayoutAdded	 32274022733233699966
11504939	PayoutAdded	 32764059287297399691
11504939	PayoutAdded	 35909196423848797508
11504939	PayoutAdded	 36864565903200102070
11504939	PayoutAdded	 38082839258985998753
