Num	blocknumber	date	balance	blocknumber	Type	Amount	Count	DAI Balance	Claim Balance	Claim Count
1	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.31184E+16	1	0.00	0.02	1
2	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.49205E+16	1	0.00	0.05	2
3	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.5177E+16	1	0.00	0.07	3
4	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.21516E+16	1	0.00	0.11	4
5	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.09923E+17	1	0.00	0.22	5
6	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.46687E+16	1	0.00	0.25	6
7	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.49428E+16	1	0.00	0.28	7
8	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.53387E+16	1	0.00	0.32	8
9	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.57884E+16	1	0.00	0.36	9
10	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.66456E+16	1	0.00	0.39	10
11	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.70451E+16	1	0.00	0.43	11
12	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.82243E+16	1	0.00	0.47	12
13	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.73086E+16	1	0.00	0.52	13
14	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.76938E+16	1	0.00	0.56	14
15	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.84935E+16	1	0.00	0.61	15
16	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.38467E+16	1	0.00	0.67	16
17	11504907	12/22/20 18:27	0	11504907	PayoutAdded	5.39467E+16	1	0.00	0.72	17
18	11504907	12/22/20 18:27	0	11504907	PayoutAdded	6.40398E+16	1	0.00	0.78	18
19	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.17436E+16	1	0.00	0.86	19
20	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.45785E+18	1	0.00	5.31	20
21	11504907	12/22/20 18:27	0	11504907	PayoutAdded	7.47666E+16	1	0.00	5.39	21
22	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.4558E+16	1	0.00	5.47	22
23	11504907	12/22/20 18:27	0	11504907	PayoutAdded	8.97269E+16	1	0.00	5.56	23
24	11504907	12/22/20 18:27	0	11504907	PayoutAdded	9.21426E+16	1	0.00	5.65	24
25	11504907	12/22/20 18:27	0	11504907	PayoutAdded	9.27292E+16	1	0.00	5.75	25
26	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.12144E+17	1	0.00	5.86	26
27	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.12498E+17	1	0.00	5.97	27
28	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.15973E+17	1	0.00	6.09	28
29	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.16776E+17	1	0.00	6.20	29
30	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.19025E+17	1	0.00	6.32	30
31	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.19502E+17	1	0.00	6.44	31
32	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.28967E+17	1	0.00	6.57	32
33	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.4741E+17	1	0.00	6.72	33
34	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.63273E+17	1	0.00	6.88	34
35	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.69874E+17	1	0.00	7.05	35
36	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.74905E+17	1	0.00	7.23	36
37	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.39481E+18	1	0.00	8.62	37
38	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.79742E+17	1	0.00	8.80	38
39	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.85069E+17	1	0.00	8.99	39
40	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.87051E+17	1	0.00	9.17	40
41	11504907	12/22/20 18:27	0	11504907	PayoutAdded	1.88833E+17	1	0.00	9.36	41
42	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.05544E+17	1	0.00	9.57	42
43	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.18649E+17	1	0.00	9.79	43
44	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.66926E+17	1	0.00	10.05	44
45	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.7875E+17	1	0.00	10.33	45
46	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.84825E+17	1	0.00	10.62	46
47	11504907	12/22/20 18:27	0	11504907	PayoutAdded	2.84946E+17	1	0.00	10.90	47
48	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.04419E+17	1	0.00	11.21	48
49	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.09993E+17	1	0.00	11.52	49
50	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.2148E+17	1	0.00	11.84	50
51	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.33253E+17	1	0.00	12.17	51
52	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.39978E+17	1	0.00	12.51	52
53	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.44772E+17	1	0.00	12.86	53
54	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.69708E+17	1	0.00	13.23	54
55	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.73227E+17	1	0.00	13.60	55
56	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.83845E+17	1	0.00	13.98	56
57	11504907	12/22/20 18:27	0	11504907	PayoutAdded	3.92011E+17	1	0.00	14.37	57
58	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.24142E+17	1	0.00	14.80	58
59	11504907	12/22/20 18:27	0	11504907	PayoutAdded	4.25839E+17	1	0.00	15.22	59
